170, 83.1
160, 167.9
150, 179.2
140, 196.0
130, 220.6
120, 254.8
110, 299.9
100, 376.5
95, 578
90, 622
85, 664
80, 733
75, 807
70, 915
65, 1033
60, 1186
55, 1373
50, 1618
45, 1917
40, 2307
35, 2720
30, 3307
28, 3680
