0.02, 13, 0.0416
0.04, 24, 0.0832
0.06, 36, 0.1248
0.08, 48, 0.1664
0.10, 60, 0.208
0.12, 73, 0.2496
0.14, 85, 0.2912
0.16, 98, 0.3328
0.18, 111, 0.3744
0.20, 127, 0.416
0.22, 136, 0.4576
