Y, X, alpha
78.0, 24.0, 0.0031461761858664087
66.0, 21.0, 0.0030424560918268567
49.0, 15.0, 0.0031623104227170057
47.0, 15.0, 0.00303323652791223
54.0, 15.0, 0.003484995159728945
The average is 0.003173834877610289
alpha-<alpha>, (alpha-<alpha>)^2
-2.8000000000000247e-05, 7.840000000000138e-10
-0.00013200000000000017, 1.7424000000000044e-08
-1.2000000000000292e-05, 1.44000000000007e-10
-0.00014100000000000007, 1.9881000000000018e-08
0.00031099999999999964, 9.672099999999978e-08
